Series Name;Series Code;Country Name;Country Code;1990 [YR1990];2000 [YR2000];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021]
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Estonia;EST;..;102.4377131;98.34970002;97.28582379;96.4585894;95.97290765;96.30901084;95.86335501;96.26979981;95.4503649;101.2905503;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Eswatini;SWZ;109.8592778;110.2814398;103.1650755;101.6087273;101.5377461;101.406114;100.3779855;103.5606593;101.9552703;99.12389994;101.4671177;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Etiopía;ETH;..;..;117.8633041;116.5036364;117.4578422;120.929497;114.9500956;116.0839291;110.6435055;113.1393429;109.8389645;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Islas Feroe;FRO;..;107.8935683;110.2686258;103.4552639;100.0156252;99.18071009;91.95259532;92.47830834;98.25773303;93.86009928;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Fiji;FJI;104.6438889;91.77000812;103.0638011;112.6021548;96.02370228;98.38641091;100.6499889;100.368205;100.0544558;97.27533394;99.84666924;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Finlandia;FIN;101.0642157;91.40220753;101.5300666;101.0542235;100.9497479;100.5686307;101.2775954;99.95404351;101.2545617;99.84407051;100.0783792;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Francia;FRA;100.7844935;98.67129722;101.2960048;101.0345793;101.1454275;100.5664492;100.605068;101.0645809;101.0106182;100.9573624;102.0201402;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Polinesia Francesa;PYF;..;..;..;..;..;..;..;..;..;114.3265778;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Gabón;GAB;84.82043688;63.63757552;70.44212607;75.92022439;84.47854423;81.88576445;82.06268648;74.5000574;68.43844472;70.565943;75.06160081;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Gambia;GMB;111.6799468;105.6659834;108.0166552;109.529674;112.9132282;110.3376211;112.3496913;116.8500217;116.2019477;119.3734458;123.3957367;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Georgia;GEO;108;125.6329831;118.9096973;112.158178;116.9065673;117.0440548;115.2263087;110.9848485;110.6382597;108.962382;119.2928086;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Alemania;DEU;100.2703482;99.83063786;93.89981459;94.24152098;93.38156677;92.4047479;92.62312026;92.91112159;93.83231488;94.35118833;94.2747568;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Ghana;GHA;108.9723452;118.4439149;112.4495988;109.8777551;107.372758;108.8578613;105.4905212;102.7946157;101.0487265;101.925603;103.6023652;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Gibraltar;GIB;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Grecia;GRC;111.6154536;110.9789162;104.5761269;102.4620893;101.555134;101.0233779;101.4442918;101.5107689;102.1642199;101.7265288;107.6149175;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Groenlandia;GRL;..;..;125.9544207;120.5099639;110.1429377;107.941096;104.3075775;102.8227884;101.0245325;112.3138493;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Granada;GRD;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Guam;GUM;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Guatemala;GTM;103.814443;108.7555192;113.0272433;112.6889097;111.5945534;110.2336378;108.8665592;109.0793277;110.6904903;110.2982748;108.0499817;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Guinea;GIN;97.94820278;104.4339729;120.3995404;127.4852035;123.3949431;129.4489848;153.0964396;111.9310369;108.5699205;112.3250844;88.58503036;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Guinea-Bissau;GNB;127.098524;118.6314238;110.2225662;107.566008;111.1782139;104.6954645;104.7959347;105.2990717;105.4659256;114.7966863;114.8617526;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Guyana;GUY;117.1528931;114.6086513;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Haití;HTI;122.5944936;112.7127135;120.9480542;119.2966308;120.4181907;118.4934742;122.0060581;123.6173388;125.6319664;125.7337835;122.1119056;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Honduras;HND;107.3992537;112.4477048;119.3825628;120.4231217;117.8497878;116.9308904;114.3875074;115.6254198;120.6415465;118.1905644;115.2958956;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Hong Kong, Región Administrativa Especial;HKG;91.46207965;95.5911061;98.86939946;99.39989852;99.7950447;97.61074603;97.71682732;98.99078132;100.2137829;98.44693028;98.1778559;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Hungría;HUN;..;103.6908217;93.89190932;93.52676868;94.14953561;92.26977611;91.59616874;93.39049819;95.75044139;97.6843533;98.29834573;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Islandia;ISL;99.15602843;106.8791951;94.23336608;92.29402059;93.62739599;92.51476502;93.36495105;95.51446696;96.67600051;95.46903424;100.734456;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;India;IND;106.9855423;102.3659999;105.4922257;101.9641283;102.8363795;101.5523019;99.77652098;100.4745244;102.2755411;102.3756839;100.3597945;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Indonesia;IDN;105.7318949;90.42806295;100.7096285;100.1785391;101.1644862;101.2622238;101.2133502;100.1067389;100.5717133;100.520983;100.6250117;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Irán, República Islámica del;IRN;111.7437525;97.75981446;97.46650944;93.49826561;96.49717236;97.02709714;95.93533708;95.79174257;95.86804459;101.9108588;102.6292217;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Iraq;IRQ;100.5315655;54.52652972;69.87568194;76.35673209;78.28491182;94.70480504;93.0994772;85.61285926;77.00303791;85.11641635;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Irlanda;IRL;95.94868257;86.1772966;83.56196875;80.82954391;81.39069725;71.18078994;84.05800721;78.61278189;70.92416245;95.91483503;78.58221819;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Isla de Man;IMN;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Israel;ISR;..;100.0947583;100.0618751;98.17141824;98.43831957;96.86978807;98.17430474;98.10016014;99.16600754;97.80848692;95.35138361;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Italia;ITA;99.95830673;99.15012562;98.89623517;97.60109324;97.10446492;96.98621746;96.71182132;97.13671507;97.59644284;96.68769603;96.31042929;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Jamaica;JAM;103.8134022;111.9329147;121.6726554;122.1078056;122.2316694;116.2741907;112.8282839;114.2090474;112.8502095;114.0384461;114.1745548;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Japón;JPN;99.22318475;98.63538318;101.6413817;102.4104552;102.5941239;100.5538887;99.19432674;99.24033536;99.9800248;100.031126;99.98946375;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Jordania;JOR;129.7793194;126.6795844;120.6940717;124.61303;122.0932583;119.2650358;116.5656257;121.0956581;118.222021;113.0179849;117.9313433;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Kazajstán;KAZ;..;92.10240495;81.68801441;84.63955125;84.96242785;93.25845589;94.00275318;89.47641008;85.67747477;89.03859284;94.20774947;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Kenya;KEN;105.1961972;110.7591544;109.6662584;110.7445566;112.7612601;110.3468361;108.365526;110.9115359;108.8275835;108.897925;107.9147441;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Kiribati;KIR;157.1843137;..;179.3393858;181.2746053;188.4745821;190.0858923;188.1268421;187.2217036;179.2540668;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Corea, República Popular Democrática de;PRK;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Corea, República de;KOR;100.7556984;98.29373649;97.27021812;95.36796273;94.95160017;93.1533653;93.3385019;95.25250937;95.56228383;97.20541683;96.34489242;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Kosovo;XKX;..;..;132.3200634;129.0958076;130.0222813;129.1176389;127.3640193;125.7524476;128.2081702;127.1281936;132.2177086;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Kuwait;KWT;113.1331022;73.67397561;51.54764861;55.88343075;63.02617052;91.16910769;100.8933406;95.44741527;88.12446882;91.59607867;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Kirguistán;KGZ;120.3271028;105.7355139;150.8675359;149.5264777;150.2288779;142.9734158;134.1727563;132.1117631;135.6720999;128.9047681;121.2496814;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;República Democrática Popular Lao;LAO;..;107.5132942;122.4316697;121.8329398;117.550645;117.8934524;108.6731284;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Letonia;LVA;..;107.9665108;105.3409355;104.3675043;102.9415171;101.723522;99.68020983;100.6452832;100.6994207;100.7051406;98.82751078;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Líbano;LBN;167.0399198;121.7601845;130.9135971;132.8603288;132.2791889;125.4899658;124.1570043;124.4644855;126.5669686;120.3334312;115.0698342;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Lesotho;LSO;..;..;166.6165429;156.8661445;149.9930836;143.935058;145.592436;151.4253054;143.4936445;147.6729738;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Liberia;LBR;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Libia;LBY;91.44410507;70.90603;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Liechtenstein;LIE;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Lituania;LTU;..;106.1907265;99.3899042;98.54964424;98.18078964;100.9970359;99.27909232;97.68302792;98.17988886;94.73911822;90.71430244;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Luxemburgo;LUX;88.44071842;77.12255363;69.36325692;67.76684446;67.86367029;67.46107812;66.2401419;68.2989849;67.29273281;69.14005203;66.91355371;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Región Administrativa Especial de Macao, China;MAC;79.15898618;69.2361456;42.16819288;40.11084692;47.35266216;61.48459306;58.90149413;53.87203308;50.57105021;49.34729423;97.69825351;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Madagascar;MDG;106.6404508;104.5377858;109.0903572;109.8232709;105.4056237;104.4391127;102.6495704;103.538137;106.3263262;108.6868843;113.3840297;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Malawi;MWI;..;..;..;..;..;..;..;..;..;..;..;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Malasia;MYS;97.9568529;80.78709095;89.24192691;91.46300758;90.72523393;92.47269074;93.34811912;93.1316439;93.29274189;92.47513642;93.55769604;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Maldivas;MDV;..;..;..;..;83.38968364;92.81142041;105.0943305;106.9487431;113.6061839;109.000521;118.9418473;..
Gasto nacional bruto (% del PIB);NE.DAB.TOTL.ZS;Malí;MLI;114.674121;110.4653945;103.4079145;114.9365804;115.5277336;115.5522227;116.8774705;113.6402605;111.100034;112.2481205;106.386111;..
