Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bhután,BTN,109.51737922259845,123.02684488740015,124.89184058597446,122.33809676097076,121.42150989052487,129.00965658855782,124.43781177726365,121.34154345228299,122.5516008416826,114.36320275126369,116.66299771957689,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bolivia,BOL,101.14930672112192,109.0482850917373,90.616367755151913,93.0459479733755,98.67829350693998,106.19625278330824,107.42502395862748,106.89636442280135,105.13237456623436,106.46278270953022,104.93761204831237,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bosnia y Herzegovina,BIH,..,155.19727411110662,130.59039299867635,127.71087839893531,128.28117879318842,124.11258425523218,122.06720492001308,121.69416598625786,119.09301603520532,118.14270176687283,117.45594558622921,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Botswana,BWA,94.736506270959325,87.775855121245883,109.34486772913721,99.97905652556382,97.226258879657962,106.91759149391591,91.241967130159551,94.682937524591011,99.537980806293334,105.63428813471955,113.84263562836566,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Brasil,BRA,98.761126899194991,102.26366507061438,101.35919547391769,102.30149603713244,102.66152017502132,101.15324310219826,99.6003239900672,99.281798636059733,99.60620438680489,100.24521305784664,98.612586202260474,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Islas Vírgenes Británicas,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Brunei Darussalam,BRN,67.183826986365773,63.702844125582473,65.081928909896973,75.01656433588056,64.462970143466464,80.093089773877821,81.992372999746,81.757492073538458,84.7486563575761,84.1695238659981,89.778147872818067,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Bulgaria,BGR,103.6093376161584,105.30799083615614,103.28608295837525,100.56926755755163,101.08551602209954,99.100767630447208,95.092863082128389,95.687405726814561,97.45994857544126,96.771743419207837,96.939132364844681,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Burkina Faso,BFA,113.48926277245212,117.43350699514745,108.04243714590839,109.88188039635833,104.95955418688712,106.87389023876138,106.06124319093853,106.36400893191666,104.43781333980506,103.43194512734597,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Burundi,BDI,119.90220654225854,109.91578330051543,124.29999762315758,128.39998163934425,125.60002284349412,110.01320299856982,110.22779999840722,110.18712985873648,115.22839198926582,117.43400933530737,116.97414041716596,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Cabo Verde,CPV,..,..,119.4135333103105,114.35420309559757,120.32416037243129,114.25120429925424,115.73248378209402,121.45754057687145,119.04577847959072,114.60857155936908,134.99077252146384,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Camboya,KHM,..,111.56978368093291,104.37770024360373,104.25896853034433,105.13915860988349,104.65612556324841,104.03556631557591,101.40694294176255,99.055469376957291,98.508510063950411,100.01718918628102,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Camerún,CMR,97.130757380618732,98.214319031790481,102.28256503953487,102.39631901076966,103.61243824131338,103.5618475688576,102.73867401489707,102.49682443925859,103.11509593899184,103.67833175340444,103.19103296493684,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Canadá,CAN,100.12453156362871,94.255480926493334,101.945703957684,101.57287505473785,100.93358203456117,102.50838758426519,102.2934704100106,102.2300329667609,101.66120074858924,101.56332340238845,102.0640177200643,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Islas Caimán,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,República Centroafricana,CAF,108.80804578654191,104.91524690326146,109.9591825906063,108.45337798775037,119.743516841995,119.00972678816508,120.88697716908487,122.62399819167572,128.09639804318132,122.33475594137002,122.33475593912635,..
