...1,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,...12,2020,2021
República Checa,32.9,48.1,75.6,76.1,82.0,80.6,79.1,79.0,77.0,73.9,,71.0,..
Dinamarca,36.4,44.8,54.6,54.8,54.6,55.4,53.4,55.1,56.6,59.0,,54.9,..
Djibouti,..,..,..,156.5,158.4,141.5,100.6,147.8,149.2,152.6,,153.4,..
Dominica,..,..,32.6,38.8,52.4,47.3,44.6,41.0,29.4,..,,..,..
República Dominicana,30.6,35.5,24.6,25.2,25.2,23.8,23.9,23.7,23.6,23.1,,18.3,..
Ecuador,22.8,32.1,30.2,28.6,28.1,21.3,19.5,20.8,22.6,23.0,,22.5,..
"Egipto, República Árabe de",20.4,16.2,16.4,17.0,14.2,13.2,10.3,15.8,18.9,17.5,,13.1,..
El Salvador,18.5,26.8,28.6,29.7,29.6,29.5,28.5,29.0,28.9,29.7,,25.5,..
Guinea Ecuatorial,..,..,71.9,67.7,66.0,56.7,51.4,58.9,59.6,52.8,,43.3,..
Eritrea,..,9.7,..,..,..,..,..,..,..,..,,..,..
Estonia,..,61.6,86.2,84.6,81.9,77.4,77.0,75.8,74.5,74.0,,71.2,..
Eswatini,59.0,71.3,36.7,40.5,43.9,43.1,44.1,43.5,40.4,45.6,,45.0,..
Etiopía,..,..,13.8,12.5,11.6,9.4,7.8,7.6,8.4,7.9,,7.1,..
Islas Feroe,..,49.8,52.3,53.5,51.4,51.2,53.7,56.7,53.4,56.5,,..,..
Fiji,62.3,65.4,61.1,56.9,52.3,48.8,46.6,46.0,47.9,48.1,,27.2,..
Finlandia,22.1,42.0,38.8,38.0,36.5,35.4,34.8,37.5,38.5,39.9,,36.2,..
Francia,21.0,28.6,29.2,29.4,29.7,30.6,30.2,30.9,31.7,31.6,,27.9,..
Polinesia Francesa,..,4.9,..,..,..,..,..,..,..,19.7,,..,..
Gabón,46.0,69.0,61.0,57.4,44.5,46.0,44.0,50.2,54.3,51.4,,47.7,..
Gambia,59.9,25.8,19.8,19.0,21.8,19.6,15.9,16.8,21.7,18.9,,8.0,..
Georgia,40.0,23.0,36.5,41.7,39.9,40.9,40.8,46.5,50.6,54.8,,37.3,..
Alemania,22.8,30.8,46.3,45.4,45.6,46.9,46.1,47.2,47.3,46.6,,43.4,..
Ghana,16.9,48.8,40.4,25.4,28.2,33.8,31.2,33.9,33.5,37.4,,32.2,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,,..,..
Grecia,14.8,23.7,28.7,30.2,32.5,32.1,31.3,35.0,39.0,40.1,,32.0,..
Groenlandia,..,..,37.5,37.7,38.5,37.6,40.8,40.7,44.5,38.8,,..,..
Granada,..,..,..,..,..,..,..,..,..,..,,..,..
Guam,..,..,19.1,19.5,18.8,18.1,19.0,19.0,19.2,22.0,,6.3,..
Guatemala,21.0,20.2,25.3,22.0,21.7,19.8,18.8,18.5,18.2,17.6,,16.9,..
Guinea,31.1,24.5,33.1,26.5,26.7,21.5,29.4,44.7,40.2,30.0,,53.1,..
Guinea-Bissau,9.9,21.8,15.5,18.3,20.2,27.5,26.5,27.8,25.3,20.3,,14.4,..
Guyana,62.7,96.1,..,..,..,..,..,..,..,..,,..,..
Haití,11.9,7.3,9.7,10.5,11.0,11.8,11.5,11.1,10.8,11.7,,7.7,..
Honduras,31.7,54.0,50.9,47.9,47.6,45.2,42.7,43.1,41.5,39.9,,35.2,..
"Hong Kong, Región Administrativa Especial",117.3,126.0,215.8,221.6,213.1,195.9,187.0,188.9,188.4,177.7,,176.7,..
Hungría,..,66.9,85.9,85.4,87.1,87.5,86.4,85.9,83.7,81.8,,79.5,..
Islandia,33.1,32.1,54.9,53.2,51.5,51.7,47.5,45.7,46.6,44.3,,34.2,..
India,7.1,13.0,24.5,25.4,23.0,19.8,19.2,18.8,19.9,18.4,,18.7,..
Indonesia,27.3,41.0,24.6,23.9,23.7,21.2,19.1,20.2,21.0,18.4,,17.2,..
"Irán, República Islámica del",13.3,21.5,24.1,26.9,23.1,19.7,22.4,24.9,33.2,25.3,,22.8,..
Iraq,7.7,75.7,44.5,39.7,38.9,34.5,28.1,33.9,40.8,37.8,,..,..
Irlanda,54.7,94.4,104.3,103.8,110.0,122.0,121.5,121.1,123.0,127.9,,131.1,..
Isla de Man,..,..,..,..,..,..,..,..,..,..,,..,..
Israel,..,35.5,35.9,33.6,32.2,31.5,30.2,29.4,30.0,29.5,,28.0,..
Italia,18.3,25.6,28.4,28.6,29.1,29.7,29.3,30.7,31.4,31.6,,29.4,..
Jamaica,48.1,38.8,30.2,30.6,31.3,29.9,31.8,34.7,38.6,38.0,,37.9,..
Japón,10.2,10.5,14.4,15.8,17.4,17.4,16.1,17.6,18.3,17.4,,15.5,..
Jordania,59.8,41.8,45.2,41.3,42.1,36.5,34.4,34.5,35.2,36.3,,23.7,..
Kazajstán,..,56.6,44.1,38.6,39.3,28.5,31.8,32.4,37.6,36.4,,30.2,..
Kenya,25.7,21.6,19.9,17.8,16.5,15.1,13.2,12.7,12.5,11.4,,9.7,..
Kiribati,20.2,11.8,13.9,11.9,13.4,15.6,19.2,15.7,9.5,..,,..,..
"Corea, República Popular Democrática de",..,..,..,..,..,..,..,..,..,..,,..,..
"Corea, República de",25.0,33.9,54.1,51.3,47.8,43.0,40.1,40.9,41.7,39.3,,36.4,..
Kosovo,..,..,24.5,23.0,23.5,22.5,23.8,27.3,29.1,29.3,,21.7,..
Kuwait,44.9,56.5,74.7,70.9,68.5,53.8,47.6,51.2,57.5,53.3,,..,..
Kirguistán,29.2,41.8,44.4,42.3,37.4,35.2,35.8,34.3,31.6,35.2,,31.3,..
